Rank,Category,Gender,Region,LocalStatus,SpecialReservation,CollegeCode,CollegeName,Branch,CutoffRank
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,175237
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,175237
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,168197
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,168197
,BCA,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCA,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCB,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCB,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCD,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCD,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCE,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,BCE,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CIV,146103
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,128861
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,128861
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,176504
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,177370
